0	1	sampleID
1.0940726	2.4411132	AA0040-C
1.5645493	2.3235035	AA0041-C
1.5395468	2.275146	AA0042-C
1.3539447	2.4374342	AA0043-C
1.7335923	2.2411218	AA0044-C
-0.56354874	-1.251659	AA0048-C
1.4314908	2.5206041	AA0049-C
-0.57536465	-1.02094	AA0050-C
1.7608658	2.2955432	AA0051-C
1.4386415	2.2862005	AA0052-C
1.5588343	2.1338444	AA0053-C
1.4461217	2.5447748	AA0054-C
1.8541679	2.2297287	AA0055-C
1.4988229	2.4826696	AA0056-C
-0.5171749	-1.322817	AA0060-C
-0.8959829	-1.089411	AA0061-C
1.1996763	2.5749056	AA0063-C
1.3515292	2.4824185	AA0064-C
1.5911857	2.4194252	AA0066-C
1.6409297	2.4329398	AA0067-C
1.6327859	2.4882329	AA0068-C
-0.5616298	-1.2469265	AA0072-C
1.1963408	2.6056519	AA0073-C
1.7700095	2.222563	AA0074-C
1.5832775	2.374354	AA0075-C
1.2441179	2.7347157	AA0076-C
1.6521962	2.3182335	AA0077-C
1.8352687	2.1967058	AA0080-C
-1.0757604	-0.822622	AA0084-C
-0.72585326	-0.9614549	AA0085-C
-0.84820694	-0.8767894	AA0086-C
1.1938565	2.4760795	AA0087-C
1.7457511	2.220223	AA0088-C
1.88575	2.2735965	AA0089-C
0.8729104	2.7027245	AA0090-C
1.8793542	2.2102098	AA0091-C
-0.6612825	-1.0140393	AA0096-C
1.34534	2.5182362	AA0097-C
1.4865285	2.5082188	AA0098-C
1.4766282	2.1999397	AA0099-C
1.7709608	2.3380785	AA0100-C
1.1220151	2.4477644	AA0101-C
0.9346336	2.7380855	AA0102-C
1.575522	2.3444185	AA0103-C
1.5212567	2.4205494	AA0104-C
1.5416505	2.484271	AA0107-C
0.02645687	-1.4852449	AA0108-C
1.3144879	2.5893722	AA0109-C
1.9943581	2.2607489	AA0110-C
1.502372	2.4366493	AA0111-C
1.7215251	2.3817976	AA0113-C
1.8149295	2.2415686	AA0114-C
1.9059025	2.1829975	AA0115-C
1.5765955	2.3634999	AA0116-C
-1.2986869	-0.70425206	AA0122-C
1.4794663	2.4306993	AA0123-C
2.0246167	2.1347284	AA0124-C
1.9489605	2.1323514	AA0125-C
2.1151395	2.1199303	AA0127-C
1.035873	2.6596513	AA0132-C
0.13887903	-1.3235692	AA0133-C
0.98774785	2.7171316	AA0134-C
1.3292524	2.543128	AA0135-C
1.8088955	2.244998	AA0136-C
1.8246729	2.1907735	AA0139-C
